id,preco_unitario,desconto_item,observacoes,produto_id,pedido_id,quantidade
1,125,0,SACOLA PINK COM ARTE PRETA,5,1,2
2,190,0,150 unida,6,2,1.5
3,94,0,sacola branca - arte pink,2,3,1
4,210,0,,14,4,1
5,123,0,,4,4,1
6,90,0,,18,4,1
7,84,0,,1,5,1
8,100,0,,3,5,1
9,190,0,,6,6,1
10,123,0,,4,7,1
11,100,0,,3,7,1
12,35,0,,23,8,1
13,35,0,,23,9,2
14,35,0,,23,10,1
15,100,0,,3,11,2
16,180,0,sacola preta  - arte dourada,13,12,1
17,130,0,,24,13,1
18,35,0,,23,14,3
19,55,0,CAMISETA CINZA MESCLA 5G E 5GG,22,15,10
20,123,0,,4,16,1
21,123,0,,4,17,5
22,190,0,,6,17,2
23,210,0,,14,17,1
24,94,0,sacola branca com arte cor salmao,2,18,1
25,80,0,,22,19,2
26,35,0,,23,20,2
27,123,0,,4,21,1
28,123,0,,4,22,1
29,94,0,,2,22,0.5
30,123,0,,4,23,1
31,190,0,,6,24,2
32,125,0,,5,24,1
