id,data,codigo,status,prioridade,desconto,taxa_entrega,forma_pagamento,data_entrega_prevista,data_entrega_realizada,arquivo_arte,arte_aprovada,data_arte_aprovada,arquivo_arte_aprovada,observacoes_arte,observacoes,observacoes_internas,valor_sinal,valor_restante,valor_recebido,sinal_pago,data_sinal_pago,restante_pago,data_restante_pago,forma_envio,codigo_rastreio,data_envio,data_entrega,criado_em,atualizado_em,cliente_id,cupom_id,usuario_id,atualizado_por_id,criado_por_id,vendedor
1,2025-06-26,PED-00001,T,U,0,0,pix,2025-07-11,,,0,,,,,,150,100,250,0,,0,,proprio,,,2025-07-05 23:02:27.381000,2025-06-27 02:56:22.199000,2025-07-05 23:02:27.381000,3,,1,,,Douglas
2,2025-06-27,PED-00002,A,N,0,32,pix,2025-07-21,,,0,,,,150 sacolas personalizada 40x50,,190.2,126.8,317,0,,0,,loggi,,,,2025-06-27 19:13:20.324000,2025-07-10 20:31:39.748415,5,,1,,,Jussara
3,2025-07-01,PED-00003,T,N,0,20,pix,2025-07-11,,,0,,,,,,68.4,45.6,94,0,,0,,loggi,,,2025-07-09 15:46:13.994000,2025-07-01 18:02:53.651000,2025-07-09 15:46:13.995000,8,,1,,,Douglas
4,2025-07-01,PED-00004,P,N,0,0,pix,2025-07-21,,,0,,,,sacola rosa bebe personalizado dourado,,253.8,169.2,190,0,,0,,loggi,,,,2025-07-01 18:39:24.796000,2025-07-10 20:31:50.240538,16,,1,,,Jussara
5,2025-07-03,PED-00005,A,N,0,20,pix,2025-07-05,,,0,,,,,,122.4,81.6,204,0,,0,,loggi,,,,2025-07-03 16:07:20.562000,2025-07-06 01:00:02.316000,17,,1,,,Jussara
6,2025-07-03,PED-00006,P,N,0,20,pix,2025-07-24,,,0,,,,,,126,84,105,0,,0,,loggi,,,,2025-07-03 16:12:47.641000,2025-07-03 16:12:47.650000,18,,1,,,Jussara
7,2025-07-03,PED-00007,P,U,0,20,pix,2025-07-17,,,0,,,,,,145.8,97.2,243,0,,0,,loggi,,,,2025-07-03 17:49:12.583000,2025-07-03 17:49:12.597000,19,,1,,,Jussara
8,2025-07-03,PED-00008,P,N,0,20,pix,2025-07-17,,,0,,,,,,33,22,55,0,,0,,loggi,,,,2025-07-03 18:48:04.732000,2025-07-03 18:48:04.746000,20,,1,,,Jussara
9,2025-07-03,PED-00009,P,N,0,20,pix,2025-07-17,,,0,,,,,,54,36,90,0,,0,,loggi,,,,2025-07-03 18:56:46.126000,2025-07-03 18:56:46.134000,21,,1,,,Jussara
10,2025-07-05,PED-00010,P,N,0,20,pix,2025-07-18,,,0,,,,,,33,22,55,0,,0,,loggi,,,,2025-07-05 13:51:13.118000,2025-07-05 13:51:13.131000,22,,1,,,Jussara
11,2025-07-05,PED-00011,P,N,0,20,pix,2025-07-25,,,0,,,,2 ARTES DIFERENTE,,132,88,110,0,,0,,,,,,2025-07-05 14:17:10.684000,2025-07-05 14:17:10.693000,23,,1,,,Jussara
12,2025-07-05,PED-00012,A,N,0,20,pix,2025-07-22,,,0,,,,o envio vai ser a combinar apor o pedido pronto,,120,80,200,0,,0,,proprio,,,,2025-07-06 00:03:49.187000,2025-07-08 16:47:33.909000,11,,1,,,Douglas
13,2025-07-06,PED-00013,P,N,0,0,pix,2025-07-25,,,0,,,,,,78,52,0,0,,0,,loggi,,,,2025-07-06 14:57:58.524000,2025-07-06 14:57:58.533000,24,,1,,,Jussara
14,2025-07-06,PED-00014,P,N,0,0,pix,2025-07-18,,,0,,,,,,63,42,105,0,,0,,proprio,,,,2025-07-06 19:07:12.605000,2025-07-06 19:07:12.615000,25,,1,,,Jussara
15,2025-07-07,PED-00015,E,N,0,0,pix,2025-07-09,,,0,,,,"CAMISETA CINZA MESCLA
5G
5GG",,330,220,550,0,,1,2025-07-10 02:55:52.961387,proprio,,,,2025-07-07 14:53:28.759000,2025-07-10 02:55:53.082243,26,,1,,,Douglas
16,2025-07-07,PED-00016,P,U,0,20,pix,2025-07-21,,,0,,,,,,85.8,57.2,143,0,,0,,loggi,,,,2025-07-07 19:04:25.842000,2025-07-07 19:04:25.852000,27,,1,,,Jussara
17,2025-07-07,PED-00017,A,U,0,0,pix,2025-07-21,,,0,,,,,,723,482,1205,0,,0,,loggi,,,,2025-07-07 19:07:21.360000,2025-07-10 20:31:07.783510,28,,1,,,Jussara
18,2025-07-07,PED-00018,A,N,0,40,pix,2025-07-28,,,0,,,,,,80.4,53.6,0,0,,0,,correios,,,,2025-07-07 21:38:24.707000,2025-07-09 15:24:22.660000,9,,1,,,Douglas
19,2025-07-09,PED-00019,P,N,0,20,pix,2025-07-23,,,0,,,,,,108,72,180,0,,0,,proprio,,,,2025-07-09 14:52:25.204000,2025-07-09 14:52:25.215000,29,,1,,,Jussara
20,2025-07-09,PED-00020,P,N,0,20,pix,2025-07-23,,,0,,,,,,54,36,90,0,,0,,loggi,,,,2025-07-09 14:54:33.858000,2025-07-09 14:54:33.865000,30,,1,,,Jussara
21,2025-07-09,PED-00021,P,N,0,20,pix,2026-02-11,,,0,,,,,,85.8,57.2,143,0,,0,,loggi,,,,2025-07-09 14:59:23.002000,2025-07-09 14:59:23.009000,31,,1,,,Jussara
22,2025-07-10,PED-00022,P,A,0,20,pix,2025-07-24,,,0,,,,,,114,76,190,0,,0,,loggi,,,,2025-07-10 12:33:23.154283,2025-07-10 12:33:23.171599,32,,1,,,Jussara
23,2025-07-10,PED-00023,P,A,0,0,pix,2025-07-21,,,0,,,,,,73.8,49.2,61.48,0,,0,,proprio,,,,2025-07-10 12:35:24.529454,2025-07-10 20:31:57.923036,33,,1,,,Jussara
24,2025-07-10,PED-00024,P,N,0,0,pix,2025-07-24,,,0,,,,,,303,202,505,0,,0,,proprio,,,,2025-07-10 17:22:47.095565,2025-07-10 17:22:47.113265,34,,1,,,Jussara
